FK_NAME,PARENT_SCHEMA,PARENT_TABLE,PARENT_COLUMN,REF_SCHEMA,REF_TABLE,REF_COLUMN
"FK_1870_15576","dbo","AD_AVAFUNQUERESPOSTAS","RESPOSTA","dbo","AD_RESPOSTAS","HANDLE"
"FK_1870_15579","dbo","AD_AVAFUNQUERESPOSTAS","QUESTAO","dbo","AD_FORMULARIOQUESTOES","HANDLE"
"FK_1870_17454","dbo","AD_AVAFUNQUERESPOSTAS","FUNCIONARIO","dbo","AD_AVAFUNCIONARIOS","HANDLE"
"FK_1068_15063","dbo","AD_AVALIACOES","MODULO","dbo","Z_ARVORES","HANDLE"
"FK_1068_17451","dbo","AD_AVALIACOES","AVALIACAO","dbo","AD_AVALIACOES","HANDLE"
"FK_1068_23751","dbo","AD_AVALIACOES","REQUISICAO","dbo","RS_REQUISICOES","HANDLE"
"FK_1068_7741","dbo","AD_AVALIACOES","FORMULARIO","dbo","AD_FORMULARIOS","HANDLE"
"FK_2172_18022","dbo","AD_DEFINICOES","EMPRESA","dbo","ADM_EMPRESAS","HANDLE"
"FK_2172_18024","dbo","AD_DEFINICOES","GRUPOMACRO","dbo","Z_MACROGRUPOS","HANDLE"
"FK_1067_7653","dbo","AD_EQUIPEFUNCIONARIOS","EQUIPE","dbo","AD_EQUIPES","HANDLE"
"FK_1066_19567","dbo","AD_EQUIPES","MODULO","dbo","Z_ARVORES","HANDLE"
"FK_1075_15564","dbo","AD_FORMULARIOQUESTOES","RESPOSTA","dbo","AD_RESPOSTAS","HANDLE"
"FK_1075_17459","dbo","AD_FORMULARIOQUESTOES","QUESTAO","dbo","AD_FORMULARIOQUESTOES","HANDLE"
"FK_1075_60819","dbo","AD_FORMULARIOQUESTOES","AGRUPADORQUESTOES","dbo","EC_AGRUPADORESQUESTOES","HANDLE"
"FK_1075_7733","dbo","AD_FORMULARIOQUESTOES","FORMULARIO","dbo","AD_FORMULARIOS","HANDLE"
"FK_1065_15565","dbo","AD_FORMULARIOS","RESPOSTA","dbo","AD_RESPOSTAS","HANDLE"
"FK_1065_15588","dbo","AD_FORMULARIOS","MODULO","dbo","Z_ARVORES","HANDLE"
"FK_1065_17883","dbo","AD_FORMULARIOS","MACRO","dbo","Z_MACROS","HANDLE"
"FK_1065_56978","dbo","AD_FORMULARIOS","REGULAMENTACAO","dbo","AP_ATOSDEPESSOAL","HANDLE"
"FK_1065_60822","dbo","AD_FORMULARIOS","TIPOAVALIACOES","dbo","EC_TIPOAVALIACOES","HANDLE"
"FK_1438_19568","dbo","AD_INDICADORES","MODULO","dbo","Z_ARVORES","HANDLE"
"FK_1652_13093","dbo","AD_METACONCEITO","META","dbo","AD_METAS","HANDLE"
"FK_2147_17881","dbo","AD_METAOBJAVACONCEITO","AVALIACAO","dbo","AD_METAOBJAVALIACAO","HANDLE"
"FK_2146_17795","dbo","AD_METAOBJAVALIACAO","OBJETIVO","dbo","AD_METAOBJETIVOS","HANDLE"
"FK_2146_17880","dbo","AD_METAOBJAVALIACAO","AVALIACAO","dbo","AD_AVALIACOES","HANDLE"
"FK_1651_13087","dbo","AD_METAOBJCONCEITO","OBJETIVO","dbo","AD_METAOBJETIVOS","HANDLE"
"FK_1063_17840","dbo","AD_METAOBJETIVOS","META","dbo","AD_METAS","HANDLE"
"FK_1063_19495","dbo","AD_METAOBJETIVOS","OBJETIVO","dbo","AD_METAOBJETIVOS","HANDLE"
"FK_1922_15550","dbo","AD_METAOBJINDCONCEITO","INDICADOR","dbo","AD_METAOBJINDICADORES","HANDLE"
"FK_1920_15538","dbo","AD_METAOBJINDICADORES","OBJETIVO","dbo","AD_METAOBJETIVOS","HANDLE"
"FK_1920_15539","dbo","AD_METAOBJINDICADORES","INDICADOR","dbo","AD_INDICADORES","HANDLE"
"FK_1061_19506","dbo","AD_METAS","MACRO","dbo","Z_MACROS","HANDLE"
"FK_1061_19561","dbo","AD_METAS","MODULO","dbo","Z_ARVORES","HANDLE"
"FK_1061_19590","dbo","AD_METAS","MACROFUNCIONARIO","dbo","Z_MACROS","HANDLE"
"FK_2272_19563","dbo","AD_PLAGRUDATA","GRUPO","dbo","AD_PLAGRUPOS","HANDLE"
"FK_1439_11183","dbo","AD_PLAGRUINDICADORES","INDICADOR","dbo","AD_INDICADORES","HANDLE"
"FK_1439_19565","dbo","AD_PLAGRUINDICADORES","DATA","dbo","AD_PLAGRUDATA","HANDLE"
"FK_1074_17841","dbo","AD_PLAGRUOBJETIVOS","OBJETIVO","dbo","AD_METAOBJETIVOS","HANDLE"
